categorias,strain,X..Delta9-THC,X..CBD
['Indica'],blueberry,20.8,0.19
['Hybrid'],the-white,24.6,0.02
['Hybrid'],super-sour-og,32.7,0.05
['Hybrid'],larry-og,16.4,0.28
['Sativa'],lemon-g,16.1,0.13
['Indica'],black-domina,0.39,0.01
['Indica'],tora-bora,5.1,8.68
['Hybrid'],sour-grape,19.8,0.0
['Sativa'],haze,14.9,0.0
['Hybrid'],marionberry-kush,22.8,0.13
['Sativa'],sunshine,23.7,0.15
['Sativa'],ghost-train-haze,25.4,0.15
['Indica'],fruity-chronic-juice,19.3,0.0
['Sativa'],galactic-jack,20.0,0.0
['Hybrid'],monkey-paw,12.7,0.24
['Sativa'],in-the-pines,0.41,0.44
['Indica'],purple-punch,0.39,0.01
['Hybrid'],24k-gold,19.4,0.13
['Hybrid'],lucy,5.2,8.71
['Indica'],cookies-kush,13.4,0.0
['Hybrid'],gorilla-cookies,0.37,0.01
['Hybrid'],lsd,0.58,0.01
['Indica'],afghani,16.1,0.17
['Indica'],ancient-og,14.6,0.32
['Hybrid'],banana-og,0.46,0.01
['Hybrid'],space-candy,16.5,0.4
['Indica'],blackberry-kush,18.4,0.01
['Hybrid'],chemdawg-91,19.5,0.43
['Sativa'],tangilope,13.3,0.01
['Hybrid'],white-fire-og,13.9,0.11
['Hybrid'],strawberry-og,0.47,0.01
['Hybrid'],harle-tsu,0.01,0.38
['Hybrid'],la-kush,16.7,0.02
['Sativa'],super-silver-haze,0.75,0.01
['Hybrid'],venom-og,21.6,0.13
['Indica'],incredible-bulk,11.6,0.14
['Hybrid'],headbanger,1.17,0.01
['Hybrid'],blueberry-cheesecake,16.9,0.25
['Hybrid'],cherry-cookies,17.2,0.42
['Indica'],blackberry-cream,15.4,0.13
['Indica'],romulan,0.3,0.0
